recipe_tag	coefficient
bias	0.4693799741927037
alfredo	0.07427007350632
almond	0.16900535603022152
american	0.026533819882140076
appetizer	0.06254161189933383
appetizers	0.026690098373034172
apple	0.01986241299846419
asiancuisine	0.06987164623817527
asparagus	0.06712864541961812
avocado	0.008161500936762989
bacon	-0.44769720809868263
baked	-0.03836717561306754
bakeddishes	-0.017948625796831146
bakery	-0.05296817827586035
baking	0.12407381867882832
beans	-0.06959673871700374
beef	0.040096272134541734
bellpeppers	-0.023333270016259903
berries	0.01821424491727307
blackbeans	-0.023333270016259903
blackvinegar	-0.07353821775770378
blueberry	0.04078534228048955
boiledeggs	-0.0432032385027845
bokchoy	-0.0432032385027845
braided	0.03971158335336936
bread	0.06983215298962567
breaded	0.013603924615850306
breakfast	-0.04268366178529921
breakfastpastry	0.035110369953646525
brioche	-0.025001706658874336
broiling	-0.006297421288095731
brownies	0.03388815958119716
brownsugar	0.01147209014716017
brunch	0.028122167875882537
burger	-0.01185867214279855
burritos	0.0006779528664470768
buttery	0.05911672697004373
cake	0.030511879065593023
carrots	-0.0432032385027845
casserole	0.09644374164103527
celebration	-0.005581836780808342
cheese	-0.04278193226451639
cheesy	-0.0220186992364739
cherry	0.0488489087341096
chicken	0.20098343312929906
chickpeas	-0.01185867214279855
chilioil	0.0025050933624711225
chilipowder	-0.023333270016259903
chinese	0.013863470094162864
chinesecookingwine	0.0760433111201749
chinesecuisine	-0.07030470406637912
chocolate	0.08077735687282023
chocolatechip	0.04584879545258724
chocolatecroissant	0.035110369953646525
christmas	-0.0979556990655708
cilantro	0.04731662384951861
cinnamon	0.08795073427534855
citrus	-0.0489778495327854
classic	0.12290110596453932
cloves	0.009581616169637009
cobbler	0.07925167610277203
cocoapowder	0.02371753322599945
coffee	0.06450762832182358
cold	0.013863470094162864
coldnoodles	0.07635577877097682
comfortfood	0.02970138125156406
condiment	-0.006706660586546745
cookies	-0.07830289612736947
corn	-0.005581836780808342
cranberry	-0.0613687903603488
creamcheese	-0.15805419027063708
creamy	-0.0031849943696810224
